3089,دقاضی3,داروسازی شهید قاضی,8,31,2021-01-10,Sh. Ghazi Pharmacy,,IRO7GPHP0003,GPHP3,داروسازی شهید قاضی,52840511587941746,IRO7GPHP0003,GPHP,1134,17,29,
12,انرژی3,سایراشخاص بورس انرژی,4,53,2021-03-12 03:17:46.751275,Other Energy B.,BENC1,IRO1BENC0001,BENC1,سایراشخاص بورس انرژی,49641108336531623,IRO1BENC0004,BENC,,9,1,
136,ختراک,ریخته‌گری‌ تراکتورسازی‌ ایران‌,4,23,2021-03-12 03:17:46.751275,I. T. Foundry,RTIR1,IRO1RTIR0001,RTIR1,ریخته‌گری‌ تراکتورسازی‌ ایران‌,22903901709044823,IRO1RTIR0009,RTIR,,9,1,
3417,میهن4,بیمه میهن,6,52,2021-01-10,Mihan Insurance,,IRO3MIHZ0004,MIHZ4,بیمه میهن,36461684762151614,IRO3MIHZ0006,MIHZ,1093,15,30,
3209,پارتاح3,مجتمع‌صنعتی‌آرتاویل‌تایر,8,15,2021-01-10,Artavil Tire -R,,IRR7ARTP0103,ARTX3,ح.مجتمع‌صنعتی‌آرتاویل‌تای,47472396702282497,IRR7ARTP0105,ARTP,33,17,8,
3244,پاساح2,ایران‌یاساتایرورابر,4,15,2021-01-10,Iran Yasa Tire-R,,IRR1YASA0102,YASX2,ح . ایران‌یاساتایرورابر,58128804502693677,IRR1YASA0100,YASA,36,9,7,
3260,حسیر3,ریل سیر کوثر,5,47,2021-01-10,Rail Sair Kosar,,IRO3RSKZ0003,RSKZ3,ریل سیر کوثر,42691406801174194,IRO3RSKZ0004,RSKZ,986,14,29,
13,باختر,کابل‌ باختر,4,20,2021-03-12 03:17:46.751275,Bakhtar Cable,BAKH1,IRO1BAKH0001,BAKH1,کابل‌ باختر,751415341879364,IRO1BAKH0006,BAKH,,9,1,
15,بالبر,کابل‌ البرز,4,20,2021-03-12 03:17:46.751275,Alborz Cable,KALZ1,IRO1KALZ0001,KALZ1,کابل‌ البرز,62952165421099192,IRO1KALZ0002,KALZ,,9,1,
53,پکرمان,گروه‌ صنعتی‌ بارز,4,15,2021-03-12 03:17:46.751275,Kerman Tire,BARZ1,IRO1BARZ0001,BARZ1,گروه‌ صنعتی‌ بارز,23214828924506640,IRO1BARZ0007,BARZ,,9,1,
84,تملت,تامین سرمایه بانک ملت,4,53,2021-03-12 03:17:46.751275,Mellat Inv. Bank,TMLT1,IRO1TMLT0001,TMLT1,تامین سرمایه بانک ملت,11129387075131725,IRO1TMLT0007,TMLT,,9,1,
3262,بشهابح2,لامپ‌  پارس‌ شهاب‌,4,20,2021-01-10,Pars Shahab-R,,IRR1LAPS0102,LAPX2,ح . لامپ‌  پارس‌ شهاب‌,12971317442094159,IRR1LAPS0108,LAPS,28,9,7,
